number, start position, stop position, strand, length
480, 980355, 981359,  + , 1005
481, 1878954, 1880165,  + , 1212
482, 1015743, 1018403,  + , 2661
483, 1907589, 1908851,  + , 1263
484, 1018425, 1020053,  + , 1629
485, 1937322, 1938770,  + , 1449
486, 1036647, 1037711,  + , 1065
487, 1944555, 1945739,  + , 1185
488, 1058625, 1059758,  + , 1134
489, 1950156, 1951613,  + , 1458
490, 1073466, 1074476,  + , 1011
491, 1954908, 1957469,  + , 2562
492, 1088244, 1089281,  + , 1038
493, 1995756, 1997813,  + , 2058
494, 1094322, 1095503,  + , 1182
495, 1999698, 2001353,  + , 1656
496, 1114224, 1115489,  + , 1266
497, 2001480, 2002973,  + , 1494
498, 1139712, 1140812,  + , 1101
499, 2004354, 2005754,  + , 1401
500, 1146807, 1149458,  + , 2652
501, 2013915, 2016416,  + , 2502
502, 1150104, 1151246,  + , 1143
503, 2023800, 2024927,  + , 1128
504, 1163526, 1164557,  + , 1032
505, 2032467, 2034080,  + , 1614
506, 1182822, 1184291,  + , 1470
507, 2041806, 2042882,  + , 1077
508, 1188960, 1191374,  + , 2415
509, 2072586, 2073635,  + , 1050
510, 1238319, 1239503,  + , 1185
511, 2105343, 2106902,  + , 1560
512, 1247997, 1249361,  + , 1365
513, 2107458, 2108747,  + , 1290
514, 1249419, 1250786,  + , 1368
515, 2126922, 2128319,  + , 1398
516, 1271811, 1272851,  + , 1041
517, 2154741, 2157038,  + , 2298
518, 1289229, 1290557,  + , 1329
519, 2160843, 2162300,  + , 1458
520, 1365711, 1366847,  + , 1137
521, 2206740, 2208017,  + , 1278
522, 1366929, 1369130,  + , 2202
523, 2216310, 2217989,  + , 1680
524, 1371939, 1373144,  + , 1206
525, 2254995, 2256743,  + , 1749
526, 1403103, 1404290,  + , 1188
527, 2270709, 2272058,  + , 1350
528, 1414008, 1415168,  + , 1161
529, 2277201, 2279006,  + , 1806
530, 1436409, 1438154,  + , 1746
531, 2291508, 2294753,  + , 3246
532, 1441317, 1443668,  + , 2352
533, 2295279, 2297297,  + , 2019
534, 1465623, 1466630,  + , 1008
535, 2315136, 2316323,  + , 1188
536, 1471803, 1473374,  + , 1572
537, 2322246, 2323400,  + , 1155
538, 1492593, 1493870,  + , 1278
539, 2329533, 2330552,  + , 1020
540, 1495083, 1496552,  + , 1470
541, 2331849, 2333192,  + , 1344
542, 1505535, 1506968,  + , 1434
543, 2347368, 2348801,  + , 1434
544, 1528626, 1530011,  + , 1386
545, 2354091, 2355500,  + , 1410
546, 1363834, 1365180,  + , 1347
547, 2568398, 2569423,  + , 1026
548, 1401811, 1403397,  + , 1587
549, 2593700, 2595073,  + , 1374
550, 1421704, 1424280,  + , 2577
551, 2620172, 2621434,  + , 1263
552, 1431499, 1433097,  + , 1599
553, 2674346, 2676544,  + , 2199
554, 1471864, 1473216,  + , 1353
555, 2679992, 2681005,  + , 1014
556, 1489555, 1490712,  + , 1158
557, 2681030, 2684143,  + , 3114
558, 1500547, 1501560,  + , 1014
559, 2736167, 2737426,  + , 1260
560, 1509886, 1511427,  + , 1542
561, 2738663, 2739841,  + , 1179
562, 1512679, 1514709,  + , 2031
563, 2739914, 2741272,  + , 1359
564, 1526857, 1528626,  + , 1770
565, 2761850, 2763946,  + , 2097
566, 1539280, 1540977,  + , 1698
567, 2763956, 2765239,  + , 1284
568, 1569295, 1570515,  + , 1221
569, 135201, 136724,  + , 1524
570, 4242633, 4244234,  + , 1602
571, 152946, 154040,  + , 1095
572, 4266306, 4268087,  + , 1782
573, 154053, 155204,  + , 1152
574, 4273908, 4275638,  + , 1731
575, 163917, 165683,  + , 1767
576, 4287174, 4288364,  + , 1191
577, 202209, 203456,  + , 1248
578, 4288497, 4289672,  + , 1176
579, 246552, 248420,  + , 1869
580, 4303482, 4304510,  + , 1029
581, 265044, 266261,  + , 1218
582, 4338525, 4340249,  + , 1725
583, 272028, 273659,  + , 1632
584, 4349607, 4350734,  + , 1128
585, 293973, 295628,  + , 1656
586, 4360023, 4361228,  + , 1206
587, 298431, 300011,  + , 1581
588, 4369266, 4370270,  + , 1005
589, 303036, 304451,  + , 1416
590, 4380024, 4381619,  + , 1596
591, 312984, 314147,  + , 1164
592, 4389267, 4390580,  + , 1314
593, 404496, 405995,  + , 1500
594, 4417821, 4419365,  + , 1545
595, 409389, 410414,  + , 1026
596, 4423095, 4424663,  + , 1569
597, 416841, 418100,  + , 1260
598, 4426053, 4427351,  + , 1299
599, 426372, 428015,  + , 1644
600, 4465008, 4468787,  + , 3780
601, 431181, 432683,  + , 1503
602, 4480203, 4481870,  + , 1668
603, 472842, 474119,  + , 1278
604, 4553751, 4555301,  + , 1551
605, 498186, 499439,  + , 1254
606, 4572012, 4573067,  + , 1056
607, 504633, 506213,  + , 1581
608, 4578186, 4581281,  + , 3096
609, 508605, 512303,  + , 3699
610, 4587543, 4589156,  + , 1614
611, 513675, 514784,  + , 1110
612, 12736, 13896,  + , 1161
613, 6054, 7220,  + , 1167
614, 31771, 34992,  + , 3222
615, 17394, 18680,  + , 1287
616, 51496, 52767,  + , 1272
617, 23364, 24521,  + , 1158
618, 73729, 74733,  + , 1005
619, 31491, 32573,  + , 1083
620, 77293, 78360,  + , 1068
621, 35844, 37106,  + , 1263
622, 109924, 111513,  + , 1590
623, 78990, 80507,  + , 1518
624, 111643, 113067,  + , 1425
625, 93687, 95084,  + , 1398
626, 116140, 117165,  + , 1026
627, 98214, 101696,  + , 3483
628, 165982, 167214,  + , 1233
629, 144561, 145610,  + , 1050
630, 172744, 175887,  + , 3144
631, 157185, 158279,  + , 1095
632, 179428, 180585,  + , 1158
633, 303036, 304067,  + , 1032
634, 199057, 200403,  + , 1347
635, 305208, 306626,  + , 1419
636, 215758, 217143,  + , 1386
637, 323343, 324557,  + , 1215
638, 233164, 235569,  + , 2406
639, 339843, 341225,  + , 1383
640, 240385, 241797,  + , 1413
641, 350712, 351914,  + , 1203
642, 252544, 253731,  + , 1188
643, 351924, 353534,  + , 1611
644, 259567, 260727,  + , 1161
645, 365337, 366731,  + , 1395
646, 315925, 317616,  + , 1692
647, 381471, 382889,  + , 1419
648, 326209, 327222,  + , 1014
649, 383982, 385178,  + , 1197
650, 332806, 334584,  + , 1779
651, 394428, 396224,  + , 1797
652, 396085, 397125,  + , 1041
653, 399366, 401387,  + , 2022
654, 416422, 418710,  + , 2289
655, 433452, 435431,  + , 1980
656, 424654, 425982,  + , 1329
657, 464634, 466436,  + , 1803
658, 438871, 440067,  + , 1197
659, 522039, 523178,  + , 1140
660, 456703, 457965,  + , 1263
661, 523959, 525314,  + , 1356
662, 487681, 489534,  + , 1854
663, 529857, 532055,  + , 2199
664, 490954, 492171,  + , 1218
665, 538389, 539825,  + , 1437
666, 495094, 496572,  + , 1479
667, 539826, 541178,  + , 1353
668, 497800, 499194,  + , 1395
669, 542550, 543704,  + , 1155
670, 503017, 504129,  + , 1113
671, 547017, 548129,  + , 1113
672, 504943, 506367,  + , 1425
673, 548163, 549527,  + , 1365
674, 509461, 510477,  + , 1017
675, 606285, 607364,  + , 1080
676, 520462, 521577,  + , 1116
677, 637086, 638489,  + , 1404
678, 521605, 522909,  + , 1305
679, 645807, 647165,  + , 1359
680, 556063, 557769,  + , 1707
681, 654414, 656246,  + , 1833
682, 569011, 570444,  + , 1434
683, 662946, 664628,  + , 1683
684, 574981, 577134,  + , 2154
685, 665139, 666635,  + , 1497
686, 586714, 588486,  + , 1773
687, 672552, 673610,  + , 1059
688, 588502, 589824,  + , 1323
689, 685080, 687140,  + , 2061
690, 615016, 616572,  + , 1557
691, 697356, 699107,  + , 1752
692, 616642, 617769,  + , 1128
693, 724860, 725936,  + , 1077
694, 619192, 620235,  + , 1044
695, 736488, 737537,  + , 1050
696, 635221, 636255,  + , 1035
697, 748698, 750119,  + , 1422
698, 688441, 691497,  + , 3057
699, 751701, 753227,  + , 1527
700, 693496, 694716,  + , 1221
701, 775242, 776411,  + , 1170
702, 713599, 714885,  + , 1287
703, 800949, 802214,  + , 1266
704, 717913, 719559,  + , 1647
705, 812586, 813974,  + , 1389
706, 766888, 768354,  + , 1467
707, 846717, 848171,  + , 1455
708, 776635, 778029,  + , 1395
709, 850944, 852341,  + , 1398
710, 778423, 782166,  + , 3744
711, 864414, 866123,  + , 1710
712, 788059, 789072,  + , 1014
713, 902406, 903575,  + , 1170
714, 655902, 657425,  + , 1524
715, 1054921, 1056084,  + , 1164
716, 671070, 672335,  + , 1266
717, 1074721, 1075782,  + , 1062
718, 672456, 674024,  + , 1569
719, 1125973, 1129875,  + , 3903
720, 777258, 778448,  + , 1191
721, 1140907, 1141920,  + , 1014
722, 799836, 800873,  + , 1038
723, 1162690, 1164222,  + , 1533
724, 801813, 803408,  + , 1596
725, 1167301, 1168521,  + , 1221
726, 819954, 821243,  + , 1290
727, 1194910, 1196505,  + , 1596
728, 824217, 825332,  + , 1116
729, 1207972, 1209075,  + , 1104
730, 825900, 827966,  + , 2067
731, 1230736, 1232196,  + , 1461
732, 327281, 328804,  + , 1524
733, 1752281, 1753417,  + , 1137
734, 342716, 343849,  + , 1134
735, 1761296, 1763110,  + , 1815
736, 359219, 362404,  + , 3186
737, 1782458, 1783504,  + , 1047
738, 375059, 376216,  + , 1158
739, 1798217, 1800235,  + , 2019
740, 384686, 388714,  + , 4029
741, 1805150, 1806505,  + , 1356
742, 403688, 404761,  + , 1074
743, 1819778, 1820968,  + , 1191
744, 413414, 414538,  + , 1125
745, 1821683, 1823443,  + , 1761
746, 433943, 434944,  + , 1002
747, 1833704, 1834894,  + , 1191
748, 459215, 460561,  + , 1347
749, 1865654, 1867420,  + , 1767
750, 460562, 462283,  + , 1722
751, 1886150, 1887388,  + , 1239
752, 476537, 477586,  + , 1050
753, 1888322, 1889410,  + , 1089
754, 500018, 501043,  + , 1026
755, 1932914, 1934299,  + , 1386
756, 528821, 530002,  + , 1182
757, 1941905, 1943188,  + , 1284
758, 541721, 542893,  + , 1173
759, 1947029, 1948681,  + , 1653
760, 582074, 583276,  + , 1203
761, 2048078, 2049334,  + , 1257
762, 643808, 645154,  + , 1347
763, 2057315, 2059030,  + , 1716
764, 673835, 675298,  + , 1464
765, 2064479, 2066551,  + , 2073
766, 772061, 773362,  + , 1302
767, 2068868, 2070229,  + , 1362
768, 775016, 776218,  + , 1203
769, 2074304, 2075320,  + , 1017
770, 782171, 783370,  + , 1200
771, 2101571, 2103193,  + , 1623
772, 811859, 813019,  + , 1161
773, 2115971, 2117632,  + , 1662
774, 815747, 816961,  + , 1215
775, 2135537, 2137789,  + , 2253
776, 817193, 818275,  + , 1083
777, 2140562, 2141842,  + , 1281
778, 819884, 821347,  + , 1464
779, 2149406, 2151550,  + , 2145
780, 826172, 827356,  + , 1185
781, 2156102, 2157649,  + , 1548
782, 845279, 846718,  + , 1440
783, 2170130, 2171563,  + , 1434
784, 852398, 853519,  + , 1122
785, 2172608, 2174722,  + , 2115
786, 873935, 874987,  + , 1053
