# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	8123	9076	+					tal		ECIAI39_RS00040	954		old_locus_tag=ECIAI39_0008
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	8123	9076	+	WP_000130187.1	WP_000130187.1		transaldolase	tal		ECIAI39_RS00040	954	317	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9191	9778	+					mog		ECIAI39_RS00045	588		old_locus_tag=ECIAI39_0009
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9191	9778	+	WP_012602158.1	WP_012602158.1		molybdopterin adenylyltransferase	mog		ECIAI39_RS00045	588	195	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9813	10379	-					satP		ECIAI39_RS00050	567		old_locus_tag=ECIAI39_0010
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9813	10379	-	WP_000528538.1	WP_000528538.1		acetate uptake transporter	satP		ECIAI39_RS00050	567	188	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	10528	11241	-					msyB		ECIAI39_RS00055	714		old_locus_tag=ECIAI39_0011
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	10528	11241	-	WP_001102376.1	WP_001102376.1		acidic protein MsyB	msyB		ECIAI39_RS00055	714	237	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	11267	11671	-					yaaI		ECIAI39_RS00060	405		old_locus_tag=ECIAI39_0012
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	11267	11671	-	WP_000843577.1	WP_000843577.1		DUF2541 family protein	yaaI		ECIAI39_RS00060	405	134	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	12047	13963	+					dnaK		ECIAI39_RS00065	1917		old_locus_tag=ECIAI39_0013
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	12047	13963	+	WP_000516135.1	WP_000516135.1		molecular chaperone DnaK	dnaK		ECIAI39_RS00065	1917	638	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	14052	15182	+					dnaJ		ECIAI39_RS00070	1131		old_locus_tag=ECIAI39_0014
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	14052	15182	+	WP_001118464.1	WP_001118464.1		molecular chaperone DnaJ	dnaJ		ECIAI39_RS00070	1131	376	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	15286	15438	-					mokC		ECIAI39_RS00075	153		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	15286	15438	-	WP_000809168.1	WP_000809168.1		type I toxin-antitoxin system toxin MokC	mokC		ECIAI39_RS00075	153	50	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16050	16811	+							ECIAI39_RS00080	762		old_locus_tag=ECIAI39_0015
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16050	16811	+	WP_001274824.1	WP_001274824.1		hypothetical protein			ECIAI39_RS00080	762	253	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16831	18324	+							ECIAI39_RS00085	1494		old_locus_tag=ECIAI39_0016
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16831	18324	+	WP_001173013.1	WP_001173013.1		sulfatase-like hydrolase/transferase			ECIAI39_RS00085	1494	497	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	18454	19698	+							ECIAI39_RS00090	1245		old_locus_tag=ECIAI39_0017
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	18454	19698	+	WP_015674577.1	WP_015674577.1		hypothetical protein			ECIAI39_RS00090	1245	414	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	19950	21116	+					nhaA		ECIAI39_RS00095	1167		old_locus_tag=ECIAI39_0018
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	19950	21116	+	WP_000681356.1	WP_000681356.1		Na+/H+ antiporter NhaA	nhaA		ECIAI39_RS00095	1167	388	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	21182	22081	+					nhaR		ECIAI39_RS00100	900		old_locus_tag=ECIAI39_0019
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	21182	22081	+	WP_001300855.1	WP_001300855.1		transcriptional activator NhaR	nhaR		ECIAI39_RS00100	900	299	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	22119	23078	-							ECIAI39_RS00105	960		old_locus_tag=ECIAI39_0020
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	22119	23078	-	WP_000871676.1	WP_000871676.1		hypothetical protein			ECIAI39_RS00105	960	319	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	23091	25541	-							ECIAI39_RS00110	2451		old_locus_tag=ECIAI39_0021
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	23091	25541	-	WP_000946602.1	WP_000946602.1		fimbrial biogenesis outer membrane usher protein			ECIAI39_RS00110	2451	816	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	25554	26237	-							ECIAI39_RS00115	684		old_locus_tag=ECIAI39_0022
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	25554	26237	-	WP_012602160.1	WP_012602160.1		fimbria/pilus periplasmic chaperone			ECIAI39_RS00115	684	227	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	26287	26820	-							ECIAI39_RS00120	534		old_locus_tag=ECIAI39_0023
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	26287	26820	-	WP_000759929.1	WP_000759929.1		fimbrial protein			ECIAI39_RS00120	534	177	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	27121	28542	-					espX1		ECIAI39_RS00125	1422		old_locus_tag=ECIAI39_0024
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	27121	28542	-	WP_000129330.1	WP_000129330.1		type III secretion system effector EspX1	espX1		ECIAI39_RS00125	1422	473	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29026	29289	-					rpsT		ECIAI39_RS00130	264		old_locus_tag=ECIAI39_0025
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29026	29289	-	WP_001274021.1	WP_001274021.1		30S ribosomal protein S20	rpsT		ECIAI39_RS00130	264	87	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29392	29610	+					yaaY		ECIAI39_RS00135	219		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29392	29610	+	WP_001300728.1	WP_001300728.1		DUF2575 family protein	yaaY		ECIAI39_RS00135	219	72	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29618	30559	+					ribF		ECIAI39_RS00140	942		old_locus_tag=ECIAI39_0026
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	29618	30559	+	WP_000767329.1	WP_000767329.1		bifunctional riboflavin kinase/FAD synthetase	ribF		ECIAI39_RS00140	942	313	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	30602	33418	+					ileS		ECIAI39_RS00145	2817		old_locus_tag=ECIAI39_0027
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	30602	33418	+	WP_001286881.1	WP_001286881.1		isoleucine--tRNA ligase	ileS		ECIAI39_RS00145	2817	938	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	33418	33912	+					lspA		ECIAI39_RS00150	495		old_locus_tag=ECIAI39_0028
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	33418	33912	+	WP_000083369.1	WP_000083369.1		signal peptidase II	lspA		ECIAI39_RS00150	495	164	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34000	34449	+					fkpB		ECIAI39_RS00155	450		old_locus_tag=ECIAI39_0029
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34000	34449	+	WP_000004655.1	WP_000004655.1		FKBP-type peptidyl-prolyl cis-trans isomerase	fkpB		ECIAI39_RS00155	450	149	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34451	35401	+					ispH		ECIAI39_RS00160	951		old_locus_tag=ECIAI39_0030
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	34451	35401	+	WP_001166395.1	WP_001166395.1		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH		ECIAI39_RS00160	951	316	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	35467	36381	+					rihC		ECIAI39_RS00165	915		old_locus_tag=ECIAI39_0031
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	35467	36381	+	WP_001239147.1	WP_001239147.1		ribonucleoside hydrolase RihC	rihC		ECIAI39_RS00165	915	304	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	36548	37369	+					dapB		ECIAI39_RS00170	822		old_locus_tag=ECIAI39_0032
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	36548	37369	+	WP_000543585.1	WP_000543585.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		ECIAI39_RS00170	822	273	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	37825	38973	+					carA		ECIAI39_RS00175	1149		old_locus_tag=ECIAI39_0033
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	37825	38973	+	WP_001558523.1	WP_001558523.1		glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	carA		ECIAI39_RS00175	1149	382	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	38991	42212	+					carB		ECIAI39_RS00180	3222		old_locus_tag=ECIAI39_0034
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	38991	42212	+	WP_001126385.1	WP_001126385.1		carbamoyl-phosphate synthase large subunit	carB		ECIAI39_RS00180	3222	1073	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42473	42868	+					caiF		ECIAI39_RS00185	396		old_locus_tag=ECIAI39_0035
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42473	42868	+	WP_000333125.1	WP_000333125.1		carnitine metabolism transcriptional regulator CaiF	caiF		ECIAI39_RS00185	396	131	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42987	43577	-					caiE		ECIAI39_RS00190	591		old_locus_tag=ECIAI39_0036
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	42987	43577	-	WP_000122874.1	WP_000122874.1		carnitine operon protein CaiE	caiE		ECIAI39_RS00190	591	196	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	43583	44368	-					caiD		ECIAI39_RS00195	786		old_locus_tag=ECIAI39_0037
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	43583	44368	-	WP_000004399.1	WP_000004399.1		crotonobetainyl-CoA hydratase	caiD		ECIAI39_RS00195	786	261	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	44477	46030	-					caiC		ECIAI39_RS00200	1554		old_locus_tag=ECIAI39_0038
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	44477	46030	-	WP_024190516.1	WP_024190516.1		crotonobetaine/carnitine-CoA ligase	caiC		ECIAI39_RS00200	1554	517	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	46103	47320	-					caiB		ECIAI39_RS00205	1218		old_locus_tag=ECIAI39_0039
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	46103	47320	-	WP_000349942.1	WP_000349942.1		L-carnitine CoA-transferase	caiB		ECIAI39_RS00205	1218	405	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	47449	48591	-					caiA		ECIAI39_RS00210	1143		old_locus_tag=ECIAI39_0040
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	47449	48591	-	WP_000347117.1	WP_000347117.1		crotonobetainyl-CoA dehydrogenase	caiA		ECIAI39_RS00210	1143	380	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	48622	50136	-					caiT		ECIAI39_RS00215	1515		old_locus_tag=ECIAI39_0041
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	48622	50136	-	WP_000787109.1	WP_000787109.1		L-carnitine/gamma-butyrobetaine antiport BCCT transporter	caiT		ECIAI39_RS00215	1515	504	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	50609	51379	+					fixA		ECIAI39_RS00220	771		old_locus_tag=ECIAI39_0042
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	50609	51379	+	WP_000692225.1	WP_000692225.1		electron transfer flavoprotein	fixA		ECIAI39_RS00220	771	256	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	51394	52335	+					fixB		ECIAI39_RS00225	942		old_locus_tag=ECIAI39_0043
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	51394	52335	+	WP_001091510.1	WP_001091510.1		electron transfer flavoprotein subunit alpha/FixB family protein	fixB		ECIAI39_RS00225	942	313	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	52386	53672	+					fixC		ECIAI39_RS00230	1287		old_locus_tag=ECIAI39_0044
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	52386	53672	+	WP_001287712.1	WP_001287712.1		FAD-dependent oxidoreductase	fixC		ECIAI39_RS00230	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	53669	53956	+					fixX		ECIAI39_RS00235	288		old_locus_tag=ECIAI39_0045
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	53669	53956	+	WP_000203741.1	WP_000203741.1		ferredoxin-like protein FixX	fixX		ECIAI39_RS00235	288	95	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	54014	55345	+					yaaU		ECIAI39_RS00240	1332		old_locus_tag=ECIAI39_0046
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	54014	55345	+	WP_001183201.1	WP_001183201.1		MFS transporter	yaaU		ECIAI39_RS00240	1332	443	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55453	55983	+					kefF		ECIAI39_RS00245	531		old_locus_tag=ECIAI39_0047
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55453	55983	+	WP_000600725.1	WP_000600725.1		glutathione-regulated potassium-efflux system oxidoreductase KefF	kefF		ECIAI39_RS00245	531	176	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55976	57838	+					kefC		ECIAI39_RS00250	1863		old_locus_tag=ECIAI39_0048
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	55976	57838	+	WP_000377135.1	WP_000377135.1		glutathione-regulated potassium-efflux system protein KefC	kefC		ECIAI39_RS00250	1863	620	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58030	58509	+					folA		ECIAI39_RS00255	480		old_locus_tag=ECIAI39_0049
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58030	58509	+	WP_000624375.1	WP_000624375.1		type 3 dihydrofolate reductase	folA		ECIAI39_RS00255	480	159	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58595	58828	+							ECIAI39_RS00260	234		old_locus_tag=ECIAI39_0050
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58595	58828	+	WP_000125568.1	WP_000125568.1		type II toxin-antitoxin system CcdA family antitoxin			ECIAI39_RS00260	234	77	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58831	59145	+							ECIAI39_RS00265	315		old_locus_tag=ECIAI39_0051
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	58831	59145	+	WP_001160965.1	WP_001160965.1		CcdB family protein			ECIAI39_RS00265	315	104	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59142	59990	-					apaH		ECIAI39_RS00270	849		old_locus_tag=ECIAI39_0052
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59142	59990	-	WP_000257195.1	WP_000257195.1		bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH	apaH		ECIAI39_RS00270	849	282	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59997	60374	-					apaG		ECIAI39_RS00275	378		old_locus_tag=ECIAI39_0053
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	59997	60374	-	WP_000610901.1	WP_000610901.1		Co2+/Mg2+ efflux protein ApaG	apaG		ECIAI39_RS00275	378	125	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	60377	61198	-					rsmA		ECIAI39_RS00280	822		old_locus_tag=ECIAI39_0054
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	60377	61198	-	WP_001065381.1	WP_001065381.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		ECIAI39_RS00280	822	273	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	61195	62184	-					pdxA		ECIAI39_RS00285	990		old_locus_tag=ECIAI39_0055
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	61195	62184	-	WP_000241224.1	WP_000241224.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA		ECIAI39_RS00285	990	329	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	62184	63470	-					surA		ECIAI39_RS00290	1287		old_locus_tag=ECIAI39_0056
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	62184	63470	-	WP_000800457.1	WP_000800457.1		peptidylprolyl isomerase SurA	surA		ECIAI39_RS00290	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	63523	65877	-					lptD		ECIAI39_RS00295	2355		old_locus_tag=ECIAI39_0057
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	63523	65877	-	WP_000746151.1	WP_000746151.1		LPS assembly protein LptD	lptD		ECIAI39_RS00295	2355	784	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	66132	66947	+					djlA		ECIAI39_RS00300	816		old_locus_tag=ECIAI39_0058
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	66132	66947	+	WP_001200573.1	WP_001200573.1		co-chaperone DjlA	djlA		ECIAI39_RS00300	816	271	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67030	68378	+							ECIAI39_RS00305	1349		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	67030	68378	+	WP_102818574.1	WP_102818574.1		IS3 family transposase			ECIAI39_RS00305	1350	449	ribosomal_slippage
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	68500	69159	-					rluA		ECIAI39_RS00310	660		old_locus_tag=ECIAI39_0061
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	68500	69159	-	WP_000525176.1	WP_000525176.1		bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA	rluA		ECIAI39_RS00310	660	219	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	69171	72077	-					rapA		ECIAI39_RS00315	2907		old_locus_tag=ECIAI39_0062
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	69171	72077	-	WP_001117001.1	WP_001117001.1		RNA polymerase-associated protein RapA	rapA		ECIAI39_RS00315	2907	968	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	72241	74592	-					polB		ECIAI39_RS00320	2352		old_locus_tag=ECIAI39_0063
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	72241	74592	-	WP_000035641.1	WP_000035641.1		DNA polymerase II	polB		ECIAI39_RS00320	2352	783	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	74667	75362	-					araD		ECIAI39_RS00325	696		old_locus_tag=ECIAI39_0064
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	74667	75362	-	WP_000888698.1	WP_000888698.1		L-ribulose-5-phosphate 4-epimerase	araD		ECIAI39_RS00325	696	231	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	75477	76979	-					araA		ECIAI39_RS00330	1503		old_locus_tag=ECIAI39_0065
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	75477	76979	-	WP_000151725.1	WP_000151725.1		L-arabinose isomerase	araA		ECIAI39_RS00330	1503	500	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	76990	78690	-					araB		ECIAI39_RS00335	1701		old_locus_tag=ECIAI39_0066
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	76990	78690	-	WP_000951836.1	WP_000951836.1		ribulokinase	araB		ECIAI39_RS00335	1701	566	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	79029	79874	+					araC		ECIAI39_RS00340	846		old_locus_tag=ECIAI39_0067
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	79029	79874	+	WP_001361831.1	WP_001361831.1		arabinose operon transcriptional regulator AraC	araC		ECIAI39_RS00340	846	281	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	80388	81236	+							ECIAI39_RS00345	849		old_locus_tag=ECIAI39_0068
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	80388	81236	+	WP_000044504.1	WP_000044504.1		hypothetical protein			ECIAI39_RS00345	849	282	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81243	81665	+							ECIAI39_RS00350	423		old_locus_tag=ECIAI39_0069
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81243	81665	+	WP_000049680.1	WP_000049680.1		hypothetical protein			ECIAI39_RS00350	423	140	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81820	82584	+					yabI		ECIAI39_RS00355	765		old_locus_tag=ECIAI39_0070
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	81820	82584	+	WP_001148403.1	WP_001148403.1		DedA family protein	yabI		ECIAI39_RS00355	765	254	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	82666	83364	-					thiQ		ECIAI39_RS00360	699		old_locus_tag=ECIAI39_0071
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	82666	83364	-	WP_000916274.1	WP_000916274.1		thiamine ABC transporter ATP-binding protein ThiQ	thiQ		ECIAI39_RS00360	699	232	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	83348	84958	-					thiP		ECIAI39_RS00365	1611		old_locus_tag=ECIAI39_0072
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	83348	84958	-	WP_000235674.1	WP_000235674.1		thiamine/thiamine pyrophosphate ABC transporter permease ThiP	thiP		ECIAI39_RS00365	1611	536	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	84934	85917	-					thiB		ECIAI39_RS00370	984		old_locus_tag=ECIAI39_0073
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	84934	85917	-	WP_012602164.1	WP_012602164.1		thiamine ABC transporter substrate binding subunit	thiB		ECIAI39_RS00370	984	327	
