number,start,end,strand,length
120,289342,290148,+,807
121,290173,292035,+,1863
122,292564,293064,+,501
123,294585,295118,+,534
124,307541,308122,+,582
125,311774,312823,+,1050
126,317130,318356,+,1227
127,318803,321496,+,2694
128,321643,322806,+,1164
129,323907,324890,+,984
130,328261,329160,+,900
131,333071,334165,+,1095
132,337733,338863,+,1131
133,339612,341138,+,1527
134,342975,343982,+,1008
135,349266,349937,+,672
136,350172,351143,+,972
137,351704,352477,+,774
138,353377,354081,+,705
139,354173,355006,+,834
140,355012,355629,+,618
141,357427,358104,+,678
142,359906,360886,+,981
143,362972,363499,+,528
144,363612,364457,+,846
145,364864,365616,+,753
146,365739,368813,+,3075
147,369120,370118,+,999
148,373472,374239,+,768
149,374363,374893,+,531
150,375145,375720,+,576
151,378539,379471,+,933
152,382076,382735,+,660
153,384435,386033,+,1599
154,386577,387224,+,648
155,403264,404166,+,903
156,408927,410402,+,1476
157,410416,412104,+,1689
158,412298,412798,+,501
159,417654,418820,+,1167
160,419168,419770,+,603
161,423756,424277,+,522
162,425030,425542,+,513
163,427721,428710,+,990
164,432109,433230,+,1122
165,437393,438034,+,642
166,438219,440585,+,2367
167,440599,442218,+,1620
168,442241,442897,+,657
169,447841,448902,+,1062
170,451455,452912,+,1458
171,457368,458900,+,1533
172,461609,462427,+,819
173,462662,463402,+,741
174,464985,467507,+,2523
175,468168,468947,+,780
176,471271,472026,+,756
177,472098,473456,+,1359
178,475504,476307,+,804
179,483647,484651,+,1005
180,484656,485297,+,642
181,485337,486152,+,816
182,487435,489207,+,1773
183,492998,493615,+,618
184,496016,496546,+,531
185,496798,497373,+,576
186,499382,500044,+,663
187,501528,502346,+,819
188,503123,504469,+,1347
189,505649,507028,+,1380
190,507427,508386,+,960
191,508408,509553,+,1146
192,513211,514770,+,1560
193,514780,516039,+,1260
194,516050,516865,+,816
195,517153,517755,+,603
196,520392,521075,+,684
197,522455,523768,+,1314
198,526767,527438,+,672
199,527469,530078,+,2610
200,530091,531098,+,1008
201,534072,535076,+,1005
202,536275,537138,+,864
203,538107,539462,+,1356
204,540485,541699,+,1215
205,544408,545184,+,777
206,546979,547719,+,741
207,548770,551112,+,2343
208,552142,552885,+,744
209,553584,556994,+,3411
210,557062,557661,+,600
211,557831,560125,+,2295
212,560413,561117,+,705
213,575621,576793,+,1173
214,577195,578388,+,1194
215,578400,581543,+,3144
216,581855,583021,+,1167
217,589360,589935,+,576
218,592586,593710,+,1125
219,593946,597809,+,3864
220,598444,599157,+,714
221,602106,603320,+,1215
222,604646,605644,+,999
223,605654,607264,+,1611
224,607278,608135,+,858
225,608357,608881,+,525
226,609679,611583,+,1905
227,613100,614260,+,1161
228,618455,619018,+,564
229,619147,620712,+,1566
230,626063,627457,+,1395
231,630295,631953,+,1659
232,631976,632602,+,627
233,634617,635177,+,561
234,637513,638361,+,849
235,644756,645565,+,810
236,650728,651909,+,1182
237,651913,652704,+,792
238,654663,655265,+,603
239,664026,665207,+,1182
240,670051,670893,+,843
241,673284,675173,+,1890
242,675376,677040,+,1665
243,678058,678888,+,831
244,682000,682680,+,681
245,682685,684346,+,1662
246,696139,696732,+,594
247,699170,700504,+,1335
248,702299,703042,+,744
249,703065,703721,+,657
250,704039,704647,+,609
251,705635,706198,+,564
252,708398,709084,+,687
253,709463,710110,+,648
254,710122,710877,+,756
255,711266,712399,+,1134
256,712427,713395,+,969
257,713925,715226,+,1302
258,718001,719761,+,1761
259,719777,720493,+,717
260,720721,723495,+,2775
261,723510,724727,+,1218
262,725004,725987,+,984
263,726143,726856,+,714
264,729011,730807,+,1797
265,730926,732380,+,1455
266,732382,732972,+,591
267,733152,734180,+,1029
268,734195,735130,+,936
269,735181,736851,+,1671
270,737122,738027,+,906
271,743559,744299,+,741
272,750952,752472,+,1521
273,752488,753627,+,1140
274,754608,755291,+,684
275,757153,758448,+,1296
276,758459,759004,+,546
277,759041,759805,+,765
278,760927,761964,+,1038
279,762101,762721,+,621
280,764532,765521,+,990
281,768553,769176,+,624
282,769921,770763,+,843
283,773936,774709,+,774
284,775401,776459,+,1059
285,776469,777209,+,741
286,777919,778428,+,510
287,780370,782394,+,2025
288,788297,788899,+,603
289,792365,793348,+,984
290,793873,794499,+,627
291,794684,795241,+,558
292,796490,798511,+,2022
293,799785,800843,+,1059
294,800865,801377,+,513
295,802613,803398,+,786
296,803605,804318,+,714
297,810567,811172,+,606
298,813684,815045,+,1362
299,815697,817664,+,1968
300,818201,820096,+,1896
301,820124,821086,+,963
302,821227,822312,+,1086
303,827293,828045,+,753
304,831811,832311,+,501
305,835088,835609,+,522
306,838375,839409,+,1035
307,840631,842199,+,1569
308,846759,847358,+,600
309,848283,848951,+,669
310,851317,852282,+,966
311,852452,854140,+,1689
312,854160,855698,+,1539
313,855776,856636,+,861
314,856639,857550,+,912
315,857650,860076,+,2427
316,860084,861412,+,1329
317,861423,861947,+,525
318,864445,865560,+,1116
319,866538,867632,+,1095
320,869493,870608,+,1116
321,873125,873661,+,537
322,878062,878571,+,510
323,879336,880598,+,1263
324,880612,881826,+,1215
325,881836,882789,+,954
326,882831,883631,+,801
327,884748,885347,+,600
328,888602,889171,+,570
329,890648,892417,+,1770
330,893083,893778,+,696
331,903232,904257,+,1026
332,905306,906502,+,1197
333,906543,907316,+,774
334,908225,908770,+,546
335,909100,909876,+,777
336,912001,914124,+,2124
337,914508,915293,+,786
338,915300,916457,+,1158
339,916585,917376,+,792
340,917381,918112,+,732
341,923118,925928,+,2811
342,926322,926960,+,639
343,926971,927714,+,744
344,927747,928292,+,546
345,928750,932328,+,3579
346,932397,932996,+,600
347,933169,935208,+,2040
348,936769,938355,+,1587
349,938412,939071,+,660
350,960954,961685,+,732
351,962105,963244,+,1140
352,964084,964626,+,543
353,964707,965381,+,675
354,965382,967877,+,2496
355,967923,968927,+,1005
356,971072,971767,+,696
357,972620,973447,+,828
358,973688,974245,+,558
359,977716,978768,+,1053
360,978997,979851,+,855
361,979880,981142,+,1263
362,981923,983278,+,1356
363,983335,984366,+,1032
364,984472,985245,+,774
365,987616,988689,+,1074
366,993459,994070,+,612
367,1002275,1002934,+,660
368,1003878,1005629,+,1752
369,1007128,1007985,+,858
370,1011595,1012299,+,705
371,1013018,1014847,+,1830
372,1017835,1018974,+,1140
373,1019426,1021588,+,2163
374,1021924,1022520,+,597
375,1023200,1024225,+,1026
376,1024362,1025417,+,1056
377,1025428,1026174,+,747
378,1026190,1026738,+,549
379,1026765,1027886,+,1122
380,1027889,1028854,+,966
381,1029402,1030556,+,1155
382,1030559,1031995,+,1437
383,1032049,1033467,+,1419
384,1033522,1034916,+,1395
385,1034918,1036396,+,1479
386,1036397,1037749,+,1353
387,1037767,1038966,+,1200
388,1038977,1040371,+,1395
389,1041812,1042897,+,1086
390,1043918,1044733,+,816
391,1044738,1045283,+,546
392,1045284,1046717,+,1434
393,1046720,1047832,+,1113
394,1047834,1048412,+,579
395,1049302,1049976,+,675
396,1050501,1051148,+,648
397,1051463,1052257,+,795
398,1052277,1053074,+,798
399,1053185,1054495,+,1311
400,1054529,1055893,+,1365
401,1056057,1057463,+,1407
402,1058987,1060003,+,1017
403,1068604,1069554,+,951
404,1069815,1071179,+,1365
405,1071478,1072416,+,939
406,1074537,1075502,+,966
407,1078350,1079243,+,894
408,1082033,1082563,+,531
409,1083307,1083888,+,582
410,1108501,1109331,+,831
411,1110210,1110728,+,519
412,1115473,1116009,+,537
413,1116162,1116749,+,588
414,1116815,1117840,+,1026
415,1117902,1118837,+,936
416,1119265,1120212,+,948
417,1120314,1121264,+,951
418,1121385,1123025,+,1641
419,1127888,1128940,+,1053
420,1139665,1140198,+,534
421,1141396,1142175,+,780
422,1155201,1157003,+,1803
423,1157233,1158792,+,1560
424,1158821,1160065,+,1245
425,1160093,1161397,+,1305
426,1168200,1168715,+,516
427,1168748,1170073,+,1326
428,1173630,1174352,+,723
429,1175142,1175837,+,696
430,1177400,1178287,+,888
431,1178929,1180413,+,1485
432,1190410,1191171,+,762
433,1191957,1192475,+,519
434,1196479,1197036,+,558
435,1203227,1204933,+,1707
436,1205828,1206415,+,588
437,1206503,1207303,+,801
438,1207312,1208394,+,1083
439,1208409,1209077,+,669
440,1209125,1209826,+,702
441,1210044,1210778,+,735
442,1211529,1212185,+,657
443,1212248,1214014,+,1767
444,1214071,1214619,+,549
445,1215269,1215934,+,666
446,1220842,1221738,+,897
447,1221790,1223322,+,1533
448,1223334,1224323,+,990
449,1224679,1225290,+,612
450,1225430,1226689,+,1260
451,1229148,1229849,+,702
452,1229954,1230772,+,819
453,1230777,1232741,+,1965
454,1233440,1235071,+,1632
455,1235458,1236222,+,765
456,1236225,1237274,+,1050
457,1237767,1238333,+,567
458,1238653,1239690,+,1038
459,1239701,1241761,+,2061
460,1242272,1243768,+,1497
461,1244149,1244721,+,573
462,1244735,1245481,+,747
463,1245868,1246968,+,1101
464,1246975,1249422,+,2448
465,1253459,1255120,+,1662
466,1255594,1256334,+,741
467,1256366,1256890,+,525
468,1257817,1258380,+,564
469,1258389,1259399,+,1011
470,1261109,1262095,+,987
471,1262174,1263433,+,1260
472,1263648,1264523,+,876
473,1267863,1268906,+,1044
474,1269153,1270952,+,1800
475,1270989,1271630,+,642
476,1274903,1276963,+,2061
477,1279151,1280023,+,873
478,1280768,1281427,+,660
479,1288206,1288904,+,699
480,1288924,1290972,+,2049
481,1291164,1292045,+,882
482,1293641,1294432,+,792
483,1299801,1300562,+,762
484,1302323,1303711,+,1389
485,1310628,1312415,+,1788
486,1312473,1313168,+,696
487,1313207,1313788,+,582
488,1313927,1315678,+,1752
489,1315760,1316875,+,1116
490,1320954,1321463,+,510
491,1322148,1323071,+,924
492,1328381,1329202,+,822
493,1338276,1339175,+,900
494,1342628,1343704,+,1077
495,1343731,1345110,+,1380
496,1345148,1346170,+,1023
497,1346191,1347027,+,837
498,1347032,1347979,+,948
499,1347989,1348969,+,981
500,1349106,1349864,+,759
501,1351126,1352115,+,990
502,1356042,1356611,+,570
503,1356722,1357771,+,1050
504,1357776,1359731,+,1956
505,1362155,1362739,+,585
506,1371540,1372760,+,1221
507,1373036,1373791,+,756
508,1373833,1375266,+,1434
509,1375407,1376606,+,1200
510,1376737,1377567,+,831
511,1378522,1379160,+,639
512,1382587,1383666,+,1080
513,1384075,1384917,+,843
514,1384952,1386373,+,1422
515,1386386,1387135,+,750
516,1390178,1390981,+,804
517,1397236,1397985,+,750
518,1400733,1402661,+,1929
519,1404217,1405200,+,984
520,1405215,1407602,+,2388
521,1408244,1408987,+,744
522,1409050,1409601,+,552
523,1411151,1411852,+,702
524,1411951,1413351,+,1401
525,1416166,1418424,+,2259
526,1418843,1419373,+,531
527,1419426,1420313,+,888
528,1420370,1421308,+,939
529,1421811,1422554,+,744
530,1425009,1425644,+,636
531,1428385,1428885,+,501
532,1438613,1441615,+,3003
533,1443236,1444723,+,1488
534,1444733,1445479,+,747
535,1445559,1446725,+,1167
536,1446743,1447942,+,1200
537,1450143,1451489,+,1347
538,1452823,1453395,+,573
539,1454082,1455518,+,1437
540,1455522,1456169,+,648
541,1456182,1456901,+,720
542,1457015,1457683,+,669
543,1457687,1458499,+,813
544,1461159,1462376,+,1218
545,1464005,1464646,+,642
546,1468438,1469277,+,840
547,1469975,1471126,+,1152
548,1480016,1480582,+,567
549,1481747,1482508,+,762
550,1482588,1483109,+,522
551,1487764,1488750,+,987
552,1489236,1489892,+,657
553,1490036,1491295,+,1260
554,1497997,1499304,+,1308
555,1502920,1503975,+,1056
556,1508065,1509093,+,1029
557,1509235,1510581,+,1347
558,1511643,1512221,+,579
559,1512922,1514424,+,1503
560,1514769,1515794,+,1026
561,1515845,1517098,+,1254
562,1520273,1521772,+,1500
563,1521945,1523318,+,1374
564,1530586,1532133,+,1548
565,1532144,1533532,+,1389
566,1538912,1539805,+,894
567,1540267,1541160,+,894
568,1541273,1541980,+,708
569,1547769,1548296,+,528
570,1551133,1551756,+,624
571,1554588,1555607,+,1020
572,1559653,1560999,+,1347
573,1562067,1562981,+,915
574,1565485,1566687,+,1203
575,1567087,1567905,+,819
576,1576769,1577314,+,546
577,1577601,1579214,+,1614
578,1579456,1581015,+,1560
579,1581245,1582327,+,1083
580,1582725,1583750,+,1026
581,1591842,1592567,+,726
582,1606107,1607870,+,1764
583,1615199,1616524,+,1326
584,1616785,1617648,+,864
585,1617867,1618481,+,615
586,1618913,1619683,+,771
587,1619719,1620573,+,855
588,1624847,1626199,+,1353
589,1629203,1630369,+,1167
590,1630967,1634506,+,3540
591,1634527,1636041,+,1515
592,1636050,1636748,+,699
593,1636763,1637425,+,663
594,1639521,1640339,+,819
595,1640431,1641444,+,1014
596,1641709,1642554,+,846
597,1643745,1644332,+,588
598,1646675,1648288,+,1614
599,1649323,1649871,+,549
600,1650537,1652240,+,1704
601,1652326,1653246,+,921
602,1653261,1654169,+,909
603,1654244,1655194,+,951
604,1655245,1656195,+,951
605,1660501,1661232,+,732
606,1663365,1664081,+,717
607,1672852,1673523,+,672
608,1673580,1674140,+,561
609,1674624,1676057,+,1434
610,1677640,1678224,+,585
611,1680436,1681299,+,864
612,1681960,1684563,+,2604
613,1687266,1689425,+,2160
614,1690420,1691013,+,594
615,1691477,1692646,+,1170
616,1692778,1693575,+,798
617,1701217,1701975,+,759
618,1702412,1702999,+,588
619,1703115,1704266,+,1152
620,1705892,1707238,+,1347
621,1708461,1710959,+,2499
622,1710963,1712336,+,1374
623,1712345,1713508,+,1164
624,1722842,1723612,+,771
625,1724250,1725833,+,1584
626,1725835,1727115,+,1281
627,1727153,1728418,+,1266
628,1729693,1730361,+,669
629,1731804,1733510,+,1707
630,1733524,1734816,+,1293
631,1734837,1735718,+,882
632,1735801,1736547,+,747
633,1736668,1737630,+,963
634,1737640,1738437,+,798
635,1738504,1739502,+,999
636,1739718,1741766,+,2049
637,1742436,1743518,+,1083
638,1743563,1744468,+,906
639,1745775,1747058,+,1284
640,1747409,1748116,+,708
641,1748237,1749805,+,1569
642,1750474,1751439,+,966
643,1752304,1753938,+,1635
644,1762719,1763537,+,819
645,1766205,1766921,+,717
646,1767474,1768772,+,1299
647,1778148,1779494,+,1347
648,1781524,1784094,+,2571
649,1785276,1790939,+,5664
650,1791267,1792007,+,741
651,1792335,1794377,+,2043
652,1794598,1795152,+,555
653,1795185,1796048,+,864
654,1796064,1797830,+,1767
655,1797844,1799136,+,1293
656,1799142,1799783,+,642
657,1799996,1803898,+,3903
658,1805168,1806118,+,951
659,1806839,1807357,+,519
660,1809043,1809846,+,804
661,1817137,1817676,+,540
662,1824580,1825167,+,588
663,1825231,1827627,+,2397
664,1827640,1828524,+,885
665,1828532,1829170,+,639
666,1858287,1858907,+,621
667,1871368,1872390,+,1023
668,1872570,1873292,+,723
669,1873663,1874421,+,759
670,1876259,1876807,+,549
671,1881631,1882170,+,540
672,1883101,1883679,+,579
673,1884929,1885780,+,852
674,1890509,1891024,+,516
675,1891509,1892096,+,588
676,1900054,1901094,+,1041
677,1901113,1901835,+,723
678,1903050,1903589,+,540
679,1904414,1904932,+,519
680,1906209,1906982,+,774
681,1907159,1908322,+,1164
682,1917969,1918871,+,903
683,1919354,1920367,+,1014
684,1924859,1925620,+,762
685,1941480,1942124,+,645
686,1942133,1942792,+,660
687,1946041,1946604,+,564
688,1951480,1952037,+,558
689,1954625,1955299,+,675
690,1958134,1959480,+,1347
691,1963601,1965094,+,1494
692,1966058,1967629,+,1572
693,1967775,1968305,+,531
694,1970918,1971928,+,1011
695,1972297,1973214,+,918
696,1976618,1977328,+,711
697,1977352,1978164,+,813
698,1986485,1987003,+,519
699,1988645,1989763,+,1119
700,1994560,1995450,+,891
701,1995453,1996277,+,825
702,1996280,1997131,+,852
703,1997167,1997985,+,819
704,2003451,2004428,+,978
705,2008495,2009010,+,516
706,2010946,2011932,+,987
707,2012014,2012604,+,591
708,2013602,2014342,+,741
709,2016419,2017747,+,1329
710,2019257,2020045,+,789
711,2020721,2021836,+,1116
712,2021851,2022804,+,954
713,2024779,2025732,+,954
714,2027128,2030079,+,2952
715,2030355,2030963,+,609
716,2031232,2032317,+,1086
717,2033303,2034406,+,1104
718,2034980,2037040,+,2061
719,2038116,2038817,+,702
720,2044466,2045251,+,786
721,2045287,2045928,+,642
722,2048253,2049362,+,1110
723,2049515,2050282,+,768
724,2054704,2055810,+,1107
725,2055840,2056487,+,648
726,2056491,2057861,+,1371
727,2058030,2058701,+,672
728,2058755,2060161,+,1407
729,2069067,2069792,+,726
730,2070104,2070658,+,555
731,2075010,2075876,+,867
732,2078735,2080081,+,1347
733,2081135,2082220,+,1086
734,2082339,2083061,+,723
735,2083088,2083852,+,765
736,2083960,2084895,+,936
737,2084911,2085414,+,504
738,2085423,2086199,+,777
739,2091789,2092586,+,798
740,2092651,2096160,+,3510
741,2096576,2097265,+,690
742,2097768,2098478,+,711
743,2100020,2100658,+,639
744,2104337,2104876,+,540
745,2105144,2106958,+,1815
746,2107396,2108520,+,1125
747,2111378,2111878,+,501
748,2120061,2120684,+,624
749,2122337,2125513,+,3177
750,2131298,2131894,+,597
751,2142112,2143350,+,1239
752,2144180,2144755,+,576
753,2145029,2145907,+,879
754,2146966,2148003,+,1038
755,2148350,2148991,+,642
756,2148995,2149570,+,576
757,2149807,2150388,+,582
758,2150871,2151809,+,939
759,2152140,2153207,+,1068
760,2154509,2155081,+,573
761,2158562,2159719,+,1158
762,2164307,2164957,+,651
763,2165819,2166652,+,834
764,2168172,2168846,+,675
765,2172000,2174423,+,2424
766,2174432,2176450,+,2019
767,2176530,2177717,+,1188
768,2183607,2184242,+,636
769,2184986,2188948,+,3963
770,2189824,2190819,+,996
771,2190824,2191558,+,735
772,2191964,2192764,+,801
773,2193890,2195218,+,1329
774,2195862,2196443,+,582
775,2199779,2200699,+,921
776,2202193,2202753,+,561
777,2202832,2203539,+,708
778,2204208,2204930,+,723
779,2204934,2205449,+,516
780,2205600,2206292,+,693
781,2207256,2210120,+,2865
782,2210669,2211265,+,597
783,2218254,2218781,+,528
784,2221417,2222268,+,852
785,2223217,2223747,+,531
786,2224538,2225728,+,1191
787,2230615,2232777,+,2163
788,2234453,2235505,+,1053
789,2236220,2237980,+,1761
790,2238049,2238567,+,519
791,2240658,2241329,+,672
792,2245098,2246201,+,1104
793,2246815,2247882,+,1068
794,2257769,2258386,+,618
795,2258395,2259528,+,1134
796,2259537,2260331,+,795
797,2260361,2261095,+,735
798,2261438,2262019,+,582
799,2262239,2262787,+,549
800,2262848,2263417,+,570
801,2263968,2265218,+,1251
802,2265387,2266787,+,1401
803,2268791,2269837,+,1047
804,2275045,2275551,+,507
805,2280783,2281562,+,780
806,2285764,2286321,+,558
807,2294108,2295454,+,1347
808,2296746,2297441,+,696
809,2298957,2300750,+,1794
810,2300883,2302013,+,1131
811,2302464,2304350,+,1887
812,2304515,2305282,+,768
813,2306060,2306962,+,903
814,2310066,2310692,+,627
815,2311421,2312014,+,594
816,2312544,2313110,+,567
817,2313492,2314448,+,957
818,2322369,2323022,+,654
819,2325099,2326091,+,993
820,2326745,2327980,+,1236
821,2327981,2329702,+,1722
822,2329861,2330448,+,588
823,2332199,2332714,+,516
824,2338298,2339290,+,993
825,2339441,2340211,+,771
826,2341518,2342066,+,549
827,2345505,2346113,+,609
828,2346288,2347127,+,840
829,2348432,2349670,+,1239
830,2349757,2350899,+,1143
831,2358218,2358973,+,756
832,2359722,2360369,+,648
833,2363924,2364973,+,1050
834,2365907,2366995,+,1089
835,2369508,2370170,+,663
836,2374878,2375588,+,711
837,2378293,2379198,+,906
838,2379415,2380176,+,762
839,2380390,2381865,+,1476
840,2382172,2382969,+,798
841,2382972,2383721,+,750
842,2384880,2386436,+,1557
843,2386512,2388332,+,1821
844,2388333,2389427,+,1095
845,2389565,2390452,+,888
846,2390454,2392043,+,1590
847,2394787,2396547,+,1761
848,2398531,2400291,+,1761
849,2403424,2404101,+,678
850,2406241,2406990,+,750
851,2413318,2413848,+,531
852,2414746,2415564,+,819
853,2416662,2417171,+,510
854,2425692,2428364,+,2673
855,2428381,2429031,+,651
856,2429060,2429596,+,537
857,2432121,2433959,+,1839
858,2434127,2435341,+,1215
859,2435549,2436199,+,651
860,2436286,2436849,+,564
861,2436930,2438168,+,1239
862,2438199,2439383,+,1185
863,2449744,2450364,+,621
864,2450377,2451348,+,972
865,2454732,2455340,+,609
866,2455418,2456140,+,723
867,2460757,2463024,+,2268
868,2463170,2464300,+,1131
869,2466681,2467580,+,900
870,2468714,2469214,+,501
871,2470312,2471940,+,1629
872,2471951,2473189,+,1239
873,2473255,2474376,+,1122
874,2474620,2475504,+,885
875,2479390,2479908,+,519
876,2484908,2486080,+,1173
877,2486084,2487052,+,969
878,2487328,2489034,+,1707
879,2489163,2489921,+,759
880,2490212,2491573,+,1362
881,2494217,2494747,+,531
882,2495164,2495934,+,771
883,2500620,2501537,+,918
884,2501728,2502936,+,1209
885,2505681,2506658,+,978
886,2506761,2507264,+,504
887,2509002,2509580,+,579
888,2510994,2512316,+,1323
889,2516170,2517168,+,999
890,2518325,2518891,+,567
891,2519430,2520872,+,1443
892,2525088,2526062,+,975
893,2526209,2526745,+,537
894,2528152,2528652,+,501
895,2530754,2531956,+,1203
896,2532031,2534175,+,2145
897,2534500,2535885,+,1386
898,2538034,2538552,+,519
899,2538992,2539885,+,894
900,2551406,2551999,+,594
901,2552017,2552559,+,543
902,2553613,2554113,+,501
903,2558289,2559284,+,996
904,2560946,2561854,+,909
905,2562043,2564109,+,2067
906,2568879,2569430,+,552
907,2569516,2570085,+,570
908,2570200,2570730,+,531
909,2575272,2575973,+,702
910,2583352,2584647,+,1296
911,2585014,2586261,+,1248
912,2587489,2588421,+,933
913,2588697,2589890,+,1194
914,2591120,2591638,+,519
915,2597519,2598088,+,570
916,2599648,2600985,+,1338
917,2601003,2602334,+,1332
918,2605646,2606170,+,525
919,2606175,2609768,+,3594
920,2617375,2618361,+,987
921,2620468,2622165,+,1698
922,2622255,2622917,+,663
923,2622930,2623787,+,858
924,2631353,2632609,+,1257
925,2633135,2633665,+,531
926,2633917,2634492,+,576
927,2636388,2637404,+,1017
928,2643303,2644361,+,1059
929,2646169,2646747,+,579
930,2650870,2651649,+,780
931,2651888,2652886,+,999
932,2653373,2654014,+,642
933,2654547,2655053,+,507
934,2657456,2658334,+,879
935,2659020,2660747,+,1728
936,2669637,2670518,+,882
937,2670522,2671946,+,1425
938,2671951,2673249,+,1299
939,2673475,2674218,+,744
940,2676013,2676882,+,870
941,2676883,2677785,+,903
942,2682802,2683545,+,744
943,2683831,2684523,+,693
944,2685555,2686100,+,546
945,2686609,2687145,+,537
946,2687219,2687761,+,543
947,2691304,2691849,+,546
948,2693459,2694487,+,1029
949,2695436,2696386,+,951
950,2696679,2698409,+,1731
951,2702834,2704183,+,1350
952,2704434,2707460,+,3027
953,2708359,2709486,+,1128
954,2711783,2712481,+,699
955,2716563,2717201,+,639
956,2717996,2718541,+,546
957,2718769,2720559,+,1791
958,2720570,2721517,+,948
959,2721534,2722973,+,1440
960,2723024,2723635,+,612
961,2723640,2725220,+,1581
962,2725282,2726925,+,1644
963,2726935,2727480,+,546
964,2727486,2728235,+,750
965,2728668,2729621,+,954
966,2729628,2730683,+,1056
967,2730729,2731553,+,825
968,2732864,2734327,+,1464
969,2735124,2735822,+,699
970,2737920,2738972,+,1053
971,2739776,2741848,+,2073
972,2741853,2743394,+,1542
973,2749059,2750405,+,1347
974,2758287,2758922,+,636
975,2762045,2762563,+,519
976,2771579,2772205,+,627
977,2779620,2780126,+,507
978,2787249,2787833,+,585
979,2788516,2789259,+,744
980,2789373,2790173,+,801
981,2794196,2794741,+,546
982,2794861,2796270,+,1410
983,2796939,2797802,+,864
984,2804360,2805130,+,771
985,2807761,2808663,+,903
986,2811251,2811988,+,738
987,2817245,2817865,+,621
988,2821639,2822226,+,588
989,2822975,2823505,+,531
990,2826175,2827179,+,1005
991,2836639,2837442,+,804
992,2837560,2838441,+,882
993,2838611,2839912,+,1302
994,2842229,2843590,+,1362
995,2845244,2846446,+,1203
996,2847814,2848389,+,576
997,2850521,2851537,+,1017
998,2857490,2858689,+,1200
999,2859397,2860002,+,606
1000,2860312,2861523,+,1212
1001,2867044,2867904,+,861
1002,2868559,2869551,+,993
1003,2870319,2871875,+,1557
1004,2873430,2874125,+,696
1005,2875433,2876113,+,681
1006,2877492,2878028,+,537
1007,2884940,2886562,+,1623
1008,2887683,2888750,+,1068
1009,2889713,2890288,+,576
1010,2891378,2891965,+,588
1011,2895126,2895875,+,750
1012,2895907,2898567,+,2661
1013,2898891,2900036,+,1146
1014,2901127,2901765,+,639
1015,2907546,2908244,+,699
1016,2912023,2912751,+,729
1017,2915153,2916211,+,1059
1018,2919179,2919697,+,519
1019,2919753,2920913,+,1161
