# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	25355	26614	+	KFI39646.1			Galactokinase			BACT_0346	1260	419	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	26721	27992	-							BACT_0347	1272		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	26721	27992	-	KFI39647.1			Transporter, MFS superfamily			BACT_0347	1272	423	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	28026	29801	-							BACT_0348	1776		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	28026	29801	-	KFI39648.1			alpha-1,4-glucosidase			BACT_0348	1776	591	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	30050	31093	+							BACT_0349	1044		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	30050	31093	+	KFI39649.1			LacI-type transcriptional regulator			BACT_0349	1044	347	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	31100	31753	-							BACT_0350	654		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	31100	31753	-	KFI39650.1			RNA methyltransferase, TrmH family			BACT_0350	654	217	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	31832	32743	+							BACT_0351	912		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	31832	32743	+	KFI39651.1			A/G-specific adenine glycosylase			BACT_0351	912	303	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	32788	33210	-							BACT_0352	423		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	32788	33210	-	KFI39652.1			putative GCN5-related N-acetyltransferase			BACT_0352	423	140	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	33517	34839	+							BACT_0353	1323		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	33517	34839	+	KFI39653.1			Citrate transporter			BACT_0353	1323	440	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	34836	36023	-							BACT_0354	1188		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	34836	36023	-	KFI39654.1			transcriptional regulator, CdaR			BACT_0354	1188	395	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	36196	37536	+							BACT_0355	1341		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	36196	37536	+	KFI39655.1			glucarate dehydratase			BACT_0355	1341	446	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	37580	38482	+							BACT_0356	903		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	37580	38482	+	KFI39656.1			dihydrodipicolinate synthetase			BACT_0356	903	300	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	38536	39684	+							BACT_0357	1149		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	38536	39684	+	KFI39657.1			glycerate kinase			BACT_0357	1149	382	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	39781	40668	+							BACT_0358	888		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	39781	40668	+	KFI39658.1			tartronate semialdehyde reductase			BACT_0358	888	295	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	40778	41419	+							BACT_0359	642		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	40778	41419	+	KFI39659.1			hypothetical protein			BACT_0359	642	213	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	41687	43816	+							BACT_0360	2130		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	41687	43816	+	KFI39660.1			hypothetical protein			BACT_0360	2130	709	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	44230	47763	+							BACT_0361	3534		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	44230	47763	+	KFI39661.1			DNA-directed RNA polymerase, beta subunit			BACT_0361	3534	1177	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	47866	52071	+							BACT_0362	4206		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	47866	52071	+	KFI39662.1			DNA-directed RNA polymerase, beta' subunit			BACT_0362	4206	1401	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	51968	54625	-							BACT_0363	2658		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	51968	54625	-	KFI39663.1			putative transglutaminase-like protein			BACT_0363	2658	885	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	54622	55869	-							BACT_0364	1248		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	54622	55869	-	KFI39664.1			hypothetical protein			BACT_0364	1248	415	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	55866	57233	-							BACT_0365	1368		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	55866	57233	-	KFI39665.1			fibronectin type III domain and MoxR protein			BACT_0365	1368	455	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	57235	62625	-							BACT_0366	5391		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	57235	62625	-	KFI39666.1			fibronectin type III domain-containing protein			BACT_0366	5391	1796	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	62744	64678	-							BACT_0367	1935		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	62744	64678	-	KFI39667.1			serine/threonine protein kinase			BACT_0367	1935	644	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	64880	65644	+							BACT_0368	765		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	64880	65644	+	KFI39668.1			protein tyrosine/serine phosphatase			BACT_0368	765	254	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	65766	70124	+							BACT_0369	4359		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	65766	70124	+	KFI39669.1			DNA helicase			BACT_0369	4359	1452	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	70350	74774	+							BACT_0370	4425		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	70350	74774	+	KFI39670.1			UvrD/REP helicase subfamily			BACT_0370	4425	1474	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	74891	75646	+							BACT_0371	756		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	74891	75646	+	KFI39671.1			acetyltransferase, GNAT family			BACT_0371	756	251	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	75643	77001	+							BACT_0372	1359		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	75643	77001	+	KFI39672.1			MFS superfamily transporter			BACT_0372	1359	452	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	77216	79102	+							BACT_0373	1887		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	77216	79102	+	KFI39673.1			metallo-beta-lactamase family protein			BACT_0373	1887	628	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	79222	80142	-							BACT_0374	921		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	79222	80142	-	KFI39674.1			hypothetical protein			BACT_0374	921	306	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	80263	81807	-							BACT_0375	1545		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	80263	81807	-	KFI39675.1			argininosuccinate lyase			BACT_0375	1545	514	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	81881	83119	-							BACT_0376	1239		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	81881	83119	-	KFI39676.1			argininosuccinate synthase			BACT_0376	1239	412	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	83219	83482	-							BACT_0377	264		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	83219	83482	-	KFI39677.1			Ornithine carbamoyltransferase			BACT_0377	264	87	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	83425	83793	-							BACT_0378	369		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	83425	83793	-	KFI39678.1			Ornithine carbamoyltransferase			BACT_0378	369	122	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	84328	84912	-							BACT_0379	585		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	84328	84912	-	KFI39679.1			2,5-diketo-D-gluconate reductase			BACT_0379	585	194	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	85598	88228	+							BACT_0380	2631		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	85598	88228	+	KFI39680.1			Alanine aminopeptidase			BACT_0380	2631	876	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	88398	89774	+							BACT_0381	1377		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	88398	89774	+	KFI39681.1			phosphoglucosamine mutase			BACT_0381	1377	458	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	89889	90542	+							BACT_0382	654		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	89889	90542	+	KFI39682.1			peptide deformylase			BACT_0382	654	217	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	90610	91254	-							BACT_0383	645		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	90610	91254	-	KFI39683.1			hypothetical protein			BACT_0383	645	214	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	91393	91596	+							BACT_0384	204		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	91393	91596	+	KFI39684.1			hypothetical protein			BACT_0384	204	67	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	91732	92637	-							BACT_0385	906		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	91732	92637	-	KFI39685.1			hypothetical protein			BACT_0385	906	301	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	93023	94087	-							BACT_0386	1065		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	93023	94087	-	KFI39686.1			alcohol dehydrogenase			BACT_0386	1065	354	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	94257	94811	-							BACT_0387	555		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	94257	94811	-	KFI39687.1			hypothetical protein			BACT_0387	555	184	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	94978	95859	+							BACT_0388	882		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	94978	95859	+	KFI39688.1			LysR family transcriptional regulator			BACT_0388	882	293	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	96895	97254	-							BACT_0389	360		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	96895	97254	-	KFI39689.1			hypothetical protein			BACT_0389	360	119	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	97484	97858	-							BACT_0390	375		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	97484	97858	-	KFI39690.1			carboxymuconolactone decarboxylase			BACT_0390	375	124	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	97939	98286	+							BACT_0391	348		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	97939	98286	+	KFI39691.1			MerR family transcriptional regulator			BACT_0391	348	115	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	98580	98696	+							BACT_0392	117		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	98580	98696	+	KFI39692.1			hypothetical protein			BACT_0392	117	38	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	99443	100435	+							BACT_0393	993		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	99443	100435	+	KFI39693.1			exo-alpha-L-arabinofuranosidase			BACT_0393	993	330	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	100527	101810	+							BACT_0394	1284		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	100527	101810	+	KFI39694.1			galactoside permease			BACT_0394	1284	427	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	101944	102942	+							BACT_0395	999		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	101944	102942	+	KFI39695.1			transcriptional regulator, LacI family			BACT_0395	999	332	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	103071	103184	-							BACT_0396	114		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	103071	103184	-	KFI39696.1			hypothetical protein			BACT_0396	114	37	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	105402	109958	+							BACT_0397	4557		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	105402	109958	+	KFI39697.1			putative glycosyl hydrolase			BACT_0397	4557	1518	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	110518	113889	+							BACT_0398	3372		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	110518	113889	+	KFI39698.1			TPR repeat-containing protein			BACT_0398	3372	1123	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	114354	115190	+							BACT_0399	837		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	114354	115190	+	KFI39699.1			ABC transporter permease			BACT_0399	837	278	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	115187	116161	+							BACT_0400	975		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	115187	116161	+	KFI39700.1			ABC transporter permease			BACT_0400	975	324	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	116226	118322	+							BACT_0401	2097		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	116226	118322	+	KFI39701.1			beta-galactosidase			BACT_0401	2097	698	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	118411	119745	+							BACT_0402	1335		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	118411	119745	+	KFI39702.1			solute binding protein of ABC transporter system			BACT_0402	1335	444	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	119988	120839	+							BACT_0403	852		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	119988	120839	+	KFI39703.1			transcriptional regulator, AraC family			BACT_0403	852	283	
gene	tRNA	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	121132	121204	-							BACT_tRNA29	73		
tRNA		GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	121132	121204	-				tRNA-Arg			BACT_tRNA29	73		
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	121358	122383	+							BACT_0404	1026		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	121358	122383	+	KFI39704.1			endonuclease/exonuclease/phosphatase			BACT_0404	1026	341	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	122461	122772	-							BACT_0405	312		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	122461	122772	-	KFI39705.1			exonuclease VII small subunit			BACT_0405	312	103	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	122863	124197	-							BACT_0406	1335		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	122863	124197	-	KFI39706.1			exodeoxyribonuclease VII large subunit			BACT_0406	1335	444	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	124444	129798	+							BACT_0407	5355		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	124444	129798	+	KFI39707.1			activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)			BACT_0407	5355	1784	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	130009	130626	-							BACT_0408	618		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	130009	130626	-	KFI39708.1			TetR family transcriptional regulator			BACT_0408	618	205	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	130928	132262	+							BACT_0409	1335		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	130928	132262	+	KFI39709.1			transporter, major facilitator family protein			BACT_0409	1335	444	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	132373	133728	+							BACT_0410	1356		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	132373	133728	+	KFI39710.1			o-glycosyl hydrolase, family 30			BACT_0410	1356	451	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	133823	135946	+							BACT_0411	2124		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	133823	135946	+	KFI39711.1			beta-galactosidase			BACT_0411	2124	707	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	135993	138293	+							BACT_0412	2301		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	135993	138293	+	KFI39712.1			Beta-glucosidase			BACT_0412	2301	766	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	138310	139002	-							BACT_0413	693		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	138310	139002	-	KFI39713.1			TetR-type transcriptional regulator			BACT_0413	693	230	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	139223	141496	+							BACT_0414	2274		
CDS	with_protein	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	139223	141496	+	KFI39714.1			beta-glucosidase			BACT_0414	2274	757	
gene	protein_coding	GCA_000741095.1	Primary Assembly	unplaced scaffold		JGYK01000001.1	141649	142665	+							BACT_0415	1017		
